companyID,movieID,companyname
28205,58372,"Samuel Goldwyn Company, The"
1422,32646,Killer Films
3906,32646,American Playhouse
38692,32646,Kardana Films
39861,32646,Chemical Films
915,10533,Hollywood Pictures
1504,10533,Cinergi Pictures Entertainment
60,10802,United Artists
183,10802,Le Studio Canal+
14723,10802,Carolco Pictures
14,10149,Miramax Films
705,18402,Spring Creek Productions
6194,18402,Warner Bros.
16368,18402,Hawn / Sylbert Movie Company
8411,9348,Metro-Goldwyn-Mayer (MGM)
171,139408,Malpaso Productions
3864,139408,Butcher's Run Films
6194,139408,Warner Bros.
574,281,Lightstorm Entertainment
1080,5967,Beta Film
1147,5967,Madeleine Films
14680,5967,Parc Film
915,79593,Hollywood Pictures
1382,79593,PolyGram Filmed Entertainment
10201,79593,Interscope Communications
11308,47939,Savoy Pictures
6849,36834,Société Française de Production (SFP)
16026,36834,FIT Productions
16027,36834,Portman Productions
33,9090,Universal Pictures
56,9090,Amblin Entertainment
508,3512,Regency Enterprises
6194,3512,Warner Bros.
17825,3512,Seagal/Nasso Productions
21480,3512,Victor Company of Japan (JVC)
63906,3512,Cutting Edge Films
915,52856,Hollywood Pictures
306,9560,Twentieth Century Fox Film Corporation
2851,9560,Zucker Brothers Productions
33,9804,Universal Pictures
1073,9804,Gordon Company
1302,9804,Davis Entertainment
6092,9804,Licht/Mueller Film Corporation
6068,31611,HBO
6911,31611,A BandApart
11661,31611,Rysher Entertainment
60,65796,United Artists
4,49805,Paramount Pictures
306,26258,Twentieth Century Fox Film Corporation
5358,50797,Canal+
6453,50797,Studio Trite
6454,50797,Caméra One
6367,19155,PolyGram Audiovisuel
12745,19155,British Screen Productions
98,76,Detour Film Production
6194,76,Warner Bros.
6365,11017,Jack Giarraputo Productions
18189,37141,Spelling Films International
508,9382,Regency Enterprises
644,9382,Alcor Films
5358,9382,Canal+
10104,9382,New Regency Pictures
16192,9382,Hera Productions
33,6715,Universal Pictures
1595,6715,Island World
4867,18256,Full Moon Entertainment
364,22625,The Rank Organisation
1898,22625,Bórd Scannán na hÉireann
4127,22625,Lantana
23808,22625,Price Entertainment
14,2292,Miramax Films
16934,2292,View Askew Productions
12,1909,New Line Cinema
70,1909,American Zoetrope
6194,8984,Warner Bros.
11407,8984,Baltimore Pictures
15709,61813,Keystone Pictures
52095,61813,Dream Man Productions Inc
4,4954,Paramount Pictures
11308,62488,Savoy Pictures
11661,62488,Rysher Entertainment
8,10531,Fine Line Features
181,10531,Channel Four Films
826,10531,Capitol Films
3823,10531,TF1 Films Production
5358,10531,Canal+
8277,10531,Flach Film
68141,10531,Les Films de l'Astre
97,11929,Castle Rock Entertainment
441,11929,Columbia Pictures Corporation
12,8467,New Line Cinema
11061,8467,Motion Picture Corporation of America (MPCA)
5528,10451,Ang Lee Productions
10565,10451,Good Machine
25345,10451,Central Motion Pictures
14,20156,Miramax Films
10166,20156,Alliance Entertainment
12800,20156,Ego Film Arts
11308,18395,Savoy Pictures
9195,522,Touchstone Pictures
306,397,Twentieth Century Fox Film Corporation
1382,397,PolyGram Filmed Entertainment
10163,397,Working Title Films
34207,397,Prufrock Pictures
5,10525,Columbia Pictures
97,10525,Castle Rock Entertainment
306,27985,Twentieth Century Fox Film Corporation
2,15789,Walt Disney Pictures
559,27303,TriStar Pictures
21,21183,Metro-Goldwyn-Mayer
1429,10954,Italian International Film
2359,10954,Stéphan Films
37581,10954,MG
14,72031,Miramax Films
8,14275,Fine Line Features
13042,14275,Kartemquin Films
11,1024,WingNut Films
14,1024,Miramax Films
294,1024,New Zealand Film Commission
2306,1024,Fontana Productions
175,17207,Caravan Pictures
915,17207,Hollywood Pictures
5,13701,Columbia Pictures
2630,13701,Majestic Films International
4564,13701,Icon Entertainment International
2,14819,Walt Disney Pictures
175,14819,Caravan Pictures
33,32631,Universal Pictures
11393,32631,Bregman/Baer Productions
4,11777,Paramount Pictures
360,628,Geffen Pictures
2370,87729,Merchant Ivory Productions
9195,87729,Touchstone Pictures
175,18713,Caravan Pictures
9195,18713,Touchstone Pictures
33,6280,Universal Pictures
8816,6280,Northern Lights Entertainment
414,9061,Fountainbridge Films
6194,9061,Warner Bros.
36854,9061,Lee Rich Productions
2,37108,Walt Disney Pictures
4063,37108,Trimark Pictures
306,6071,Twentieth Century Fox Film Corporation
1,11,Lucasfilm
306,11,Twentieth Century Fox Film Corporation
5,9587,Columbia Pictures
6194,19101,Warner Bros.
181,49980,Channel Four Films
983,49980,Parallax Pictures
9209,17961,MK2 Productions
84803,18183,Aviacsa
84804,18183,Cinevista
348,4476,Bedford Falls Productions
